title,director,country,listed_in,type,combined_features
Dick Johnson Is Dead,Kirsten Johnson,United States,Documentaries,Movie,Dick Johnson Is Dead Kirsten Johnson United States Documentaries Movie
Ganglands,Julien Leclercq,France,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV Show,"Ganglands Julien Leclercq France Crime TV Shows, International TV Shows, TV Action & Adventure TV Show"
Midnight Mass,Mike Flanagan,United States,"TV Dramas, TV Horror, TV Mysteries",TV Show,"Midnight Mass Mike Flanagan United States TV Dramas, TV Horror, TV Mysteries TV Show"
Confessions of an Invisible Girl,Bruno Garotti,Brazil,"Children & Family Movies, Comedies",Movie,"Confessions of an Invisible Girl Bruno Garotti Brazil Children & Family Movies, Comedies Movie"
Sankofa,Haile Gerima,United States,"Dramas, Independent Movies, International Movies",Movie,"Sankofa Haile Gerima United States Dramas, Independent Movies, International Movies Movie"
The Great British Baking Show,Andy Devonshire,United Kingdom,"British TV Shows, Reality TV",TV Show,"The Great British Baking Show Andy Devonshire United Kingdom British TV Shows, Reality TV TV Show"
The Starling,Theodore Melfi,United States,"Comedies, Dramas",Movie,"The Starling Theodore Melfi United States Comedies, Dramas Movie"
Motu Patlu in the Game of Zones,Suhas Kadav,India,"Children & Family Movies, Comedies, Music & Musicals",Movie,"Motu Patlu in the Game of Zones Suhas Kadav India Children & Family Movies, Comedies, Music & Musicals Movie"
Je Suis Karl,Christian Schwochow,Germany,"Dramas, International Movies",Movie,"Je Suis Karl Christian Schwochow Germany Dramas, International Movies Movie"
Motu Patlu in Wonderland,Suhas Kadav,India,"Children & Family Movies, Music & Musicals",Movie,"Motu Patlu in Wonderland Suhas Kadav India Children & Family Movies, Music & Musicals Movie"
Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,"Children & Family Movies, Comedies",Movie,"Motu Patlu: Deep Sea Adventure Suhas Kadav India Children & Family Movies, Comedies Movie"
Motu Patlu: Mission Moon,Suhas Kadav,India,"Children & Family Movies, Comedies",Movie,"Motu Patlu: Mission Moon Suhas Kadav India Children & Family Movies, Comedies Movie"
99 Songs (Tamil),Not Given,Pakistan,"Dramas, International Movies, Music & Musicals",Movie,"99 Songs (Tamil) Not Given Pakistan Dramas, International Movies, Music & Musicals Movie"
Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,Movies,Movie,"Bridgerton - The Afterparty Krysia Plonka, Kristian Mercado United States Movies Movie"
Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,Movies,Movie,"Bling Empire - The Afterparty Krysia Plonka, Kristian Mercado United States Movies Movie"
Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,Movies,Movie,"Cobra Kai - The Afterparty Krysia Plonka, Kristian Mercado United States Movies Movie"
The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,Comedies,Movie,"The Circle - The Afterparty Krysia Plonka, Kristian Mercado United States Comedies Movie"
Jailbirds New Orleans,Not Given,Pakistan,"Docuseries, Reality TV",TV Show,"Jailbirds New Orleans Not Given Pakistan Docuseries, Reality TV TV Show"
Crime Stories: India Detectives,Not Given,Pakistan,"British TV Shows, Crime TV Shows, Docuseries",TV Show,"Crime Stories: India Detectives Not Given Pakistan British TV Shows, Crime TV Shows, Docuseries TV Show"
True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,Children & Family Movies,Movie,"True: Winter Wishes Mark Thornton, Todd Kauffman United States Children & Family Movies Movie"
True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,Kids' TV,TV Show,"True: Magical Friends Mark Thornton, Todd Kauffman United States Kids' TV TV Show"
True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,Kids' TV,TV Show,"True: Wonderful Wishes Mark Thornton, Todd Kauffman United States Kids' TV TV Show"
Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,Kids' TV,TV Show,"Dance & Sing with True Mark Thornton, Todd Kauffman United States Kids' TV TV Show"
My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given,Children & Family Movies,Movie,"My Little Pony: A New Generation Robert Cullen, José Luis Ucha Not Given Children & Family Movies Movie"
Bangkok Breaking,Kongkiat Komesiri,Not Given,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV Show,"Bangkok Breaking Kongkiat Komesiri Not Given Crime TV Shows, International TV Shows, TV Action & Adventure TV Show"
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,"Documentaries, International Movies",Movie,"Europe's Most Dangerous Man: Otto Skorzeny in Spain Pedro de Echave García, Pablo Azorín Williams Not Given Documentaries, International Movies Movie"
Samudri Lootere,Anirban Majumder,Not Given,Children & Family Movies,Movie,Samudri Lootere Anirban Majumder Not Given Children & Family Movies Movie
Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,"Crime TV Shows, Docuseries, International TV Shows",TV Show,"Monsters Inside: The 24 Faces of Billy Milligan Olivier Megaton United States Crime TV Shows, Docuseries, International TV Shows TV Show"
Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,Children & Family Movies,Movie,"Go! Go! Cory Carson: Chrissy Takes the Wheel Alex Woo, Stanley Moore United States Children & Family Movies Movie"
Jeans,S. Shankar,India,"Comedies, International Movies, Romantic Movies",Movie,"Jeans S. Shankar India Comedies, International Movies, Romantic Movies Movie"
Grown Ups,Dennis Dugan,United States,Comedies,Movie,Grown Ups Dennis Dugan United States Comedies Movie
Dark Skies,Scott Stewart,United States,"Horror Movies, Sci-Fi & Fantasy",Movie,"Dark Skies Scott Stewart United States Horror Movies, Sci-Fi & Fantasy Movie"
Paranoia,Robert Luketic,United States,Thrillers,Movie,Paranoia Robert Luketic United States Thrillers Movie
Jaguar,Not Given,Pakistan,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV Show,"Jaguar Not Given Pakistan International TV Shows, Spanish-Language TV Shows, TV Action & Adventure TV Show"
Chicago Party Aunt,Not Given,Pakistan,TV Comedies,TV Show,Chicago Party Aunt Not Given Pakistan TV Comedies TV Show
Squid Game,Not Given,Pakistan,"International TV Shows, TV Dramas, TV Thrillers",TV Show,"Squid Game Not Given Pakistan International TV Shows, TV Dramas, TV Thrillers TV Show"
Tayo and Little Wizards,Not Given,Pakistan,Kids' TV,TV Show,Tayo and Little Wizards Not Given Pakistan Kids' TV TV Show
The World's Most Amazing Vacation Rentals,Not Given,Pakistan,Reality TV,TV Show,The World's Most Amazing Vacation Rentals Not Given Pakistan Reality TV TV Show
Metal Shop Masters,Not Given,Pakistan,Reality TV,TV Show,Metal Shop Masters Not Given Pakistan Reality TV TV Show
Pokémon Master Journeys: The Series,Not Given,Pakistan,"Anime Series, Kids' TV",TV Show,"Pokémon Master Journeys: The Series Not Given Pakistan Anime Series, Kids' TV TV Show"
Titipo Titipo,Not Given,Pakistan,"Kids' TV, Korean TV Shows",TV Show,"Titipo Titipo Not Given Pakistan Kids' TV, Korean TV Shows TV Show"
Mighty Raju,Not Given,Pakistan,Kids' TV,TV Show,Mighty Raju Not Given Pakistan Kids' TV TV Show
Tobot Galaxy Detectives,Not Given,Pakistan,Kids' TV,TV Show,Tobot Galaxy Detectives Not Given Pakistan Kids' TV TV Show
Hotel Del Luna,Not Given,Pakistan,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show,"Hotel Del Luna Not Given Pakistan International TV Shows, Romantic TV Shows, TV Comedies TV Show"
Brave Animated Series,Not Given,Pakistan,"International TV Shows, TV Action & Adventure, TV Comedies",TV Show,"Brave Animated Series Not Given Pakistan International TV Shows, TV Action & Adventure, TV Comedies TV Show"
How to Be a Cowboy,Not Given,Pakistan,Reality TV,TV Show,How to Be a Cowboy Not Given Pakistan Reality TV TV Show
Oldsters,Not Given,Pakistan,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show,"Oldsters Not Given Pakistan Crime TV Shows, International TV Shows, Spanish-Language TV Shows TV Show"
Bread Barbershop,Not Given,Pakistan,"Kids' TV, TV Comedies",TV Show,"Bread Barbershop Not Given Pakistan Kids' TV, TV Comedies TV Show"
Turning Point: 9/11 and the War on Terror,Not Given,Pakistan,Docuseries,TV Show,Turning Point: 9/11 and the War on Terror Not Given Pakistan Docuseries TV Show
Hometown Cha-Cha-Cha,Not Given,Pakistan,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show,"Hometown Cha-Cha-Cha Not Given Pakistan International TV Shows, Romantic TV Shows, TV Comedies TV Show"
The Ingenuity of the Househusband,Not Given,Pakistan,"International TV Shows, TV Comedies",TV Show,"The Ingenuity of the Househusband Not Given Pakistan International TV Shows, TV Comedies TV Show"
Minsara Kanavu,Rajiv Menon,India,"Comedies, International Movies, Music & Musicals",Movie,"Minsara Kanavu Rajiv Menon India Comedies, International Movies, Music & Musicals Movie"
Intrusion,Adam Salky,Not Given,Thrillers,Movie,Intrusion Adam Salky Not Given Thrillers Movie
Avvai Shanmughi,K.S. Ravikumar,Not Given,"Comedies, International Movies",Movie,"Avvai Shanmughi K.S. Ravikumar Not Given Comedies, International Movies Movie"
Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,"Dramas, Independent Movies, International Movies",Movie,"Ankahi Kahaniya Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary Not Given Dramas, Independent Movies, International Movies Movie"
The Father Who Moves Mountains,Daniel Sandu,Not Given,"Dramas, International Movies, Thrillers",Movie,"The Father Who Moves Mountains Daniel Sandu Not Given Dramas, International Movies, Thrillers Movie"
The Stronghold,Cédric Jimenez,Not Given,"Action & Adventure, Dramas, International Movies",Movie,"The Stronghold Cédric Jimenez Not Given Action & Adventure, Dramas, International Movies Movie"
Birth of the Dragon,George Nolfi,China,"Action & Adventure, Dramas",Movie,"Birth of the Dragon George Nolfi China Action & Adventure, Dramas Movie"
The Smart Money Woman,Bunmi Ajakaiye,South Africa,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show,"The Smart Money Woman Bunmi Ajakaiye South Africa International TV Shows, Romantic TV Shows, TV Comedies TV Show"
You vs. Wild: Out Cold,Ben Simms,United States,Children & Family Movies,Movie,You vs. Wild: Out Cold Ben Simms United States Children & Family Movies Movie
Jaws,Steven Spielberg,United States,"Action & Adventure, Classic Movies, Dramas",Movie,"Jaws Steven Spielberg United States Action & Adventure, Classic Movies, Dramas Movie"
Jaws 2,Jeannot Szwarc,United States,"Dramas, Horror Movies, Thrillers",Movie,"Jaws 2 Jeannot Szwarc United States Dramas, Horror Movies, Thrillers Movie"
Jaws 3,Joe Alves,United States,"Action & Adventure, Horror Movies, Thrillers",Movie,"Jaws 3 Joe Alves United States Action & Adventure, Horror Movies, Thrillers Movie"
Jaws: The Revenge,Joseph Sargent,United States,"Action & Adventure, Horror Movies, Thrillers",Movie,"Jaws: The Revenge Joseph Sargent United States Action & Adventure, Horror Movies, Thrillers Movie"
Safe House,Daniel Espinosa,South Africa,Action & Adventure,Movie,Safe House Daniel Espinosa South Africa Action & Adventure Movie
Training Day,Antoine Fuqua,United States,"Dramas, Thrillers",Movie,"Training Day Antoine Fuqua United States Dramas, Thrillers Movie"
Dolly Parton: A MusiCares Tribute,Not Given,Pakistan,"Documentaries, Music & Musicals",Movie,"Dolly Parton: A MusiCares Tribute Not Given Pakistan Documentaries, Music & Musicals Movie"
Deadly Sins,Not Given,Pakistan,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV Show,"Deadly Sins Not Given Pakistan International TV Shows, Spanish-Language TV Shows, TV Dramas TV Show"
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,"Action & Adventure, Anime Features, International Movies",Movie,"InuYasha the Movie 2: The Castle Beyond the Looking Glass Toshiya Shinohara Japan Action & Adventure, Anime Features, International Movies Movie"
